number,title,classification,year,date,latitude,longitude,magnitude,data
15003,Report 15003: Brief sighting by motorsist near Shelby Forest.,Not Infected,2005,Apr-15,35.226,-89.94,5,
20430,"Report 20430: Possible camp stalking at Betsy Lake, Grandaddy Basin, Uinta Mountains",Not Infected,2005,Aug-17,40.61087,-110.8139,5,
270,Report 270: Campers awakened by late-night visitor in the Indian Heaven Wilderness,Not Infected,2005,07-Jan,46.04722,-122.1914,5,
937,"Report 937: Witnesses hear odd, loud vocalization while in the forest traveling on a logging road",Not Infected,2005,Jun-28,45.69,-122.3353,5,
1585,Report 1585: Witness reports bad smell and a scream,Not Infected,2005,Jul-26,46.9363,-122.7607,5,
8435,Report 8435: Incidents around a cabin near Grantsburg,Not Infected,2005,10-Jan,45.776,-92.683,5,
23211,"Report 23211: Possible camp stalking at Glade Run Pond, Monon. Nat. Forest",Not Infected,2005,07-Dec,38.312,-80.429,5,
9753,Report 9753: Animal peers into youngster's bedroom window,Infected,2006,Jul-15,35.44944,-91.51306,5,
13718,Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris,Infected,2006,06-Jan,35.34572,-93.75313,5,
12292,Report 12292: Daylight sighting by hikers in Ventana Wilderness,Infected,2006,Jun-15,36.3779,-121.7146,5,
23134,Report 23134: Fishing Guide has sighting while trolling Deer Lake,Infected,2006,07-May,52.6752,-94.5176,5,
17767,Report 17767: Night-time sighting by Marine training near Ft Carson,Infected,2006,Jul-17,38.716,-104.875,5,
606,Report 606: witness observed creature running across the road,Infected,2006,Aug-15,30.05705,-81.75165,5,
10874,Report 10874: Teenager observes animal hiding behind trees and finds footprint in the Clay Hills near Hoboken.,Infected,2006,10-Nov,31.2439,-82.1341,5,
33115,Report 33115: Two witnesses recall sighting as teens near Monticello,Infected,2006,Jun-15,33.46372,-83.61285,5,
27374,Report 27374: Man remembers his daytime sighting as a youth living south of Hennepin,Infected,2006,Nov-29,41.2285,-89.3211,5,
36667,Report 36667: Memory told of encounters on a farm near Ottawa.,Infected,2006,01-Jan,41.30374,-88.95451,5,
21271,Report 21271: Man describes road sighting in teen years near Pine Stump Junction,Infected,2006,07-Jan,46.56725,-85.589,5,
26245,Report 26245: Man recalls scary incidents as a teenager on his family's farm SW of Mt. Pleasant,Infected,2006,09-Jan,43.45135,-85.12935,5,
1099,Report 1099: Campsite intrusion near river.,Infected,2006,Jun-15,38.04414,-92.97639,5,
18442,Report 18442: Memory told of being chased on a farm near Ava,Infected,2006,Aug-14,36.94109,-92.7622,5,
27410,Report 27410:  Man recalls his brief daylight sighting outside Bloomfield,Infected,2006,Jan-14,36.87593,-89.86899,5,
6062,"Report 6062: Three teenagers witness a ""thing"" crouched on the road, stand up, take three quick steps, and jump over the reeds down a hill",Infected,2006,10-Jan,38.74899,-82.97854,5,
6804,Report 6804: Two ourtdoorsmen chased by a large bear like biped recount 25+ years of strange occurrences.,Infected,2006,06-Jan,39.49695,-84.45905,5,
25961,Report 25961: Young woman has close encounter at night outside of Georgetown,Infected,2006,Jul-27,38.81772,-83.80582,5,
12712,"Report 12712: Woman remembers large bipedal creature running thru pasture at night, south of Henryetta",Infected,2006,Aug-25,35.36895,-95.97023,5,
1720,Report 1720: Two sets of bigfoot trackways at Cape Blanco Beach on southern Oregon coast,Infected,2006,Aug-14,42.82,-124.53,5,
10771,Report 10771: Motorist has close roadside observation of animal near Chilhowee campground.,Infected,2006,Oct-14,35.1013,-84.3046,5,
25592,Report 25592: Man recalls a vivid daytime encounter as a youth near Portland,Infected,2006,May-24,36.5802,-86.5104,5,
1617,Report 1617: Three hikers see something cross their path,Infected,2006,08-Sep,48.36861,-122.2778,5,
7483,Report 7483: Morning daylight sighting around rural homes near Kent,Infected,2006,Dec-25,47.39,-122.2187,5,
32824,Report 32824: Recollection of a road crossing at dusk while working as an MP on Fort Lewis,Infected,2006,Sep-15,47.10637,-122.5958,5,
39025,Report 39025: Man remembers his daylight sighting of a bigfoot standing on a stump next to Discovery Bay,Infected,2006,Sep-15,48.00503,-122.911,5,
42736,"Report 42736: Man recalls seeing a huge, hair-covered biped standing beside the road at night near Snohomish",Infected,2006,Oct-17,48.93228,-121.9995,5,
11252,Report 11252: Teenagers have nighttime sighting of animal near Milltown.,Not Infected,2006,Sep-27,35.1759,-94.0679,5,
11858,Report 11858: Possible night time sighting near Big Lake,Not Infected,2006,07-Jun,33.9,-109.355,5,
8598,Report 8598: Daylight Sighting by Hikers Near Bennett Mountain,Not Infected,2006,07-Jan,38.415,-122.585,5,
16550,Report 16550: Solo camper's late night encounter outside Truckee,Not Infected,2006,08-Jan,39.41546,-120.4187,5,
14166,Report 14166: Possible vocalizations heard in Lumby,Not Infected,2006,Aug-15,50.42139,-119.0626,5,
1375,Report 1375: fresh set of tracks found in the snow.,Not Infected,2006,10-Jan,38.71225,-105.1744,5,
23498,"Report 23498: Bow hunter describes possible tracks, sounds and scat north of Lake Butler",Not Infected,2006,Nov-15,30.07067,-82.38086,5,
2278,Report 2278: Hunting party shadowed by footsteps after loud vocalization heard from treeline,Not Infected,2006,Jun-15,32.0321,-84.43484,5,
49544,Report 49544: Man and wife recall possible daytime sighting while fishing the Ohoopee River,Not Infected,2006,09-Dec,32.39858,-82.30919,5,
12919,Report 12919: Youth has nighttime sighting along Rock River,Not Infected,2006,Nov-15,41.6,-90.1,5,
41907,Report 41907: Memory told of a possible sighting at night in a pasture east of Jacksonville,Not Infected,2006,01-Nov,39.74652,-90.17844,5,
2429,Report 2429: High-pitched growling scream heard by witnesses.,Not Infected,2006,07-Jan,37.2731,-83.49205,5,
5694,Report 5694: Campers have strange encounter near swamp in the Upper Peninsula,Not Infected,2006,Jul-15,46.01278,-86.81917,5,
28935,Report 28935: Airman recalls diverse encounters on excursion into Boundary Waters Canoe Area Wilderness,Not Infected,2006,May-17,48.1784,-92.12065,5,
2451,Report 2451: Three-toed print found while cutting firewood,Not Infected,2006,May-31,37.5562,-90.2488,5,
9218,"Report 9218: Just after sundown, driver has sighting close to Carter Mountain",Not Infected,2006,Sep-16,35.7909,-82.4614,5,
12736,Report 12736: Student hears vocalization near the Cuyahoga River,Not Infected,2006,Apr-16,41.15845,-81.33134,5,
40040,Report 40040: Man recalls possible sighting while driving at night next to the Ravenna Arsenal,Not Infected,2006,Jul-15,41.18518,-81.03764,5,
55412,Report 55412: Memory told of spying something large and hairy overturning rocks by the Brazos River,Not Infected,2006,11-Jan,32.15,-97.52499,5,
19983,"Report 19983: Fisherman describes possible howls and camp stalking at Round Lake, Uinta Mountains",Not Infected,2006,Jul-19,40.77988,-110.9325,5,
444,Report 444: Family sightings over 100 years in Fayette and Fulton Counties,Class C,2006,Apr-15,33.4996,-84.5422,5,
2794,Report 2794: Woman has early evening sighting near Kennedy Meadows,Infected,2007,May-31,36.05278,-118.1303,5,
6521,Report 6521: Woman hears late night scream and has close encounter near Laytonville,Infected,2007,06-Jan,39.68833,-123.4817,5,
12649,Report 12649: Man recalls daytime sighting in a canyon outside Nevada City,Infected,2007,Sep-15,39.25396,-121.0517,5,
10001,Report 10001: Motorists have daylight sighting near Fort Liard.,Infected,2007,Apr-13,59.61,-123.12,5,
26765,Report 26765: Man recalls seeing a sasquatch near Little Qualicum Falls on Vancouver Island,Infected,2007,Aug-15,49.4085,-124.6929,5,
3185,"Report 3185: Co-workers stunned by giant hairy ""man-thing"" walking down town street",Infected,2007,Oct-26,38.4,-105.1167,5,
33859,Report 33859: Woman recalls daylight sighting north of Marseilles,Infected,2007,07-Nov,41.42741,-88.71402,5,
1313,Report 1313:  creature walked directly towards witness.,Infected,2007,Nov-15,32.7817,-93.9467,5,
815,"Report 815: Witness observes strange ""monkey-like"" animal from bedroom window.",Infected,2007,Aug-15,43.26806,-82.53083,5,
13918,Report 13918: Night time sighting by motorists on Highway 512 near Elwood (driver's observation),Infected,2007,10-Oct,32.036,-88.77015,5,
14144,Report 14144: Night time sighting by motorists on Highway 512 near Elwood (passenger's observation),Infected,2007,10-Oct,32.036,-88.77015,5,
3351,Report 3351: Late night sighting by teen at Lost Creek Golf Course,Infected,2007,Mar-15,40.73412,-84.06565,5,
8017,"Report 8017: A family is shocked to see a large, hairy creature run across a forest road with a pack of dogs in pursuit",Infected,2007,10-Jan,39.14299,-82.41166,5,
14646,Report 14646: Fisherman Observes White Creature Swimming in Antrim Lake,Infected,2007,May-15,40.08159,-83.0337,5,
36011,Report 36011: Man recalls night time sighting at an airport outside Frederick,Infected,2007,Mar-19,34.38638,-98.99414,5,
11765,Report 11765: Teenager frog gigging has nighttime encounter near Dickson.,Infected,2007,07-Nov,36.12318,-87.38542,5,
16970,Report 16970: Fly fisherman recalls daylight sighting of a shaggy light haired creature on all-fours in the Cherokee National Forest,Infected,2007,Mar-14,35.3538,-84.0458,5,
23823,Report 23823: Man recalls seeing a large creature while driving at night near Fayetteville,Infected,2007,10-Jan,35.10615,-86.46987,5,
24419,Report 24419: Former park employee describes an encounter in Ruskin Cave Park,Infected,2007,07-Oct,36.1124,-87.4769,5,
4142,Report 4142: Hunter observes 6' tall hairy figure near a creek,Infected,2007,Nov-15,33.67056,-95.06667,5,
10974,"Report 10974: Large, white haired biped seen twice near Twisp",Infected,2007,Mar-15,48.321,-120.0745,5,
23614,Report 23614: Motorist returning from fireworks display gets a good look at a bigfoot near Ashford,Infected,2007,07-May,46.75468,-122.1183,5,
1774,Report 1774: 3 Friends watch 7' tall 2 legged hairy brown animal on the other side of the river,Infected,2007,Jul-15,38.32548,-80.60419,5,
7188,Report 7188: Two men shocked to see hairy figure close on trail in Monongahela National Forest,Infected,2007,07-Apr,39.0417,-79.43762,5,
20028,Report 20028: Hunter recalls unusual and persistent vocalizations at Carson Lake on the Grand Mesa,Not Infected,2007,Oct-15,38.9969,-108.1098,5,
18333,Report 18333: Possible vocalizations near Bakersville,Not Infected,2007,11-Jan,41.86425,-73.00099,5,
20420,Report 20420: Possible nightime encounter near Lake Trafford,Not Infected,2007,06-Jan,26.283,-81.2521,5,
3094,Report 3094: Teenager hears vocalization and has encounter with smelly creature outside window,Not Infected,2007,09-Jan,34.36725,-84.57616,5,
18439,Report 18439: Possible scream at Ft. Stewart,Not Infected,2007,Sep-19,31.55762,-81.47213,5,
2149,Report 2149: Park Rangers and residents of Glendale Springs observe large footprints in deep snow,Not Infected,2007,Mar-22,36.3461,-81.38915,5,
3334,"Report 3334: Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature",Not Infected,2007,Jul-15,34.7576,-77.5873,5,
4957,Report 4957: Hunter has dusk sighting in Oberlin area,Not Infected,2007,Oct-15,41.27939,-82.21939,5,
5778,Report 5778: Couple horseback riding catch a glimpse of unknown creature followed by a nasty smell and a loud moaning scream,Not Infected,2007,08-Jul,40.54269,-80.89606,5,
7832,Report 7832: A man has heard similar cries in the night for over 15 years that were noted in another BFRO report from the same location,Not Infected,2007,07-Jan,41.16187,-81.37181,5,
24301,"Report 24301: Man remembers hearing strange vocalizations and seeing a hairy, upright figure while hunting in Sweden Valley",Not Infected,2007,Nov-28,41.70813,-77.99314,5,
10258,Report 10258: Loud vocalizations repeatedly disturb family,Not Infected,2007,Sep-15,48.9294,-122.0247,5,
20435,Report 20435: Woman recalls childhood incident -- possible stalking near Yelm,Not Infected,2007,Jul-15,46.94445,-122.6893,5,
2774,Report 2774: Large bipedal animal observes couple parking behind school gymnasium,Infected,2008,01-Oct,36.12083,-90.51056,5,
83,Report 83: Early dawn sighting by hunters near Bass Lake,Infected,2008,10-Jan,37.35944,-119.6436,5,
11576,Report 11576: Woman has close up night sighting in car lights on Highway 299,Infected,2008,Oct-15,40.85,-123.55,5,
20415,Report 20415: Man describes his childhood observation in daylight on a farm outside Langley,Infected,2008,May-15,49.0922,-122.6089,5,
9545,Report 9545: Motorist has morning sighting on road outside Sweet Gum Head,Infected,2008,12-Jan,30.9854,-85.95136,5,
12587,Report 12587: Daylight sighting by fishermen near Venice,Infected,2008,08-Jan,27.099,-82.454,5,
10012,Report 10012: Night time encounter with parked trucker and wife near Post Falls.,Infected,2008,12-Mar,47.70965,-116.9266,5,
13692,Report 13692: Daytime sighting by young girl hiking with family north of Fairfield,Infected,2008,Aug-20,43.4082,-114.8281,5,
24815,Report 24815: Man recalls his observation of a creature crossing a road while hunting in the Morgan-Monroe State Forest,Infected,2008,Nov-30,39.32117,-86.46065,5,
2036,"Report 2036: Multiple witnesses encounter bad smell, three observe creature hiding behind sapling",Infected,2008,06-Jan,37.07354,-93.13545,5,
4952,Report 4952: Evening sighting by ice fisherman near Friendship Lake,Infected,2008,Dec-31,40.2831,-80.78826,5,
26997,Report 26997: Man recalls childhood observation of rock throwing near Urichsville,Infected,2008,Sep-15,40.36831,-81.32809,5,
43758,Report 43758: Hunter recalls his observation of a dark figure crawling on a family farm near Markton,Infected,2008,Oct-15,41.02176,-74.53322,5,
10783,Report 10783: Motorist has nighttime sighting of animal near Smyrna.,Infected,2008,Aug-15,35.988,-86.5101,5,
4158,"Report 4158: Brothers encounter a large, very well-built, man-like creature",Infected,2008,Oct-15,33.16972,-99.18778,5,
1393,Report 1393: Sighting by two hikers,Infected,2008,Jun-25,47.7613,-122.7063,5,
1673,"Report 1673: A hairy Man-like creature is spotted in a field, close to the road",Infected,2008,Jul-13,47.9817,-122.0447,5,
6486,"Report 6486: Special Forces team follows bipedal trackway, gets screamed at",Not Infected,2008,Mar-15,69.5,-156.75,5,
43217,Report 43217: Memory of 3 hairy fingers sliding under the front door outside Nauvoo,Not Infected,2008,Jul-15,33.89236,-87.3775,5,
2333,Report 2333: Family hears late night screams near Long Barn,Not Infected,2008,Sep-27,38.05141,-120.0508,5,
10127,Report 10127: Possible tracks found in Jasper National Park,Not Infected,2008,Jun-15,53.53485,-119.2044,5,
1757,Report 1757: Two separate sets of large footprints found,Not Infected,2008,Dec-15,46.05292,-112.571,5,
3339,Report 3339: Deep impressions seen in the snow,Not Infected,2008,Mar-15,35.74875,-82.26195,5,
4310,Report 4310: Footprints discovered along a creek on a sand bar,Not Infected,2008,May-19,40.35097,-81.99847,5,
4962,Report 4962: Hunter states that vocalizations heard near Batesville are identical to recordings on BFRO site,Not Infected,2008,08-Jan,39.93154,-81.28671,5,
4980,Report 4980: Night sighting near Sandyville,Not Infected,2008,Jun-15,40.62147,-81.34993,5,
12789,Report 12789: Night time sighting by resident near Germantown,Not Infected,2008,Sep-14,39.61205,-84.36754,5,
28012,Report 28012: Hunter observes a huge figure scaling a steep hillside in just moments near Clairton,Not Infected,2008,Aug-16,40.29929,-79.8944,5,
29403,Report 29403: Witness recalls a possible daytime sighting while 4-wheeling as a youth west of Nashville,Not Infected,2008,10-Aug,36.0917,-86.9803,5,
35114,Report 35114: Recollection of spotting a tall figure cross a trail at dusk near Norris Lake,Not Infected,2008,Sep-16,36.2635,-83.918,5,
177,Report 177: Elk hunters hear screams in remote canyon below,Not Infected,2008,Oct-19,39.64175,-111.2186,5,
24530,Report 24530: Possible protest attack on an elk hunter's camper (vehicle) in Fishlake National Forest,Not Infected,2008,09-Apr,38.8204,-111.6631,5,
1768,Report 1768: Lifelong hunter hears strange screams in early morning twilight directly under tree stand,Not Infected,2008,11-Jan,37.53434,-79.49707,5,
15630,Report 15630: Miner reports pre-dawn road crossing near Silverton,Infected,2009,04-Jan,37.83905,-107.7247,5,
591,"Report 591: Driver stops car momentarily on Nova Rd., witnesses a 7-8 foot tall dark creature approach his car..",Infected,2009,Sep-15,28.3725,-80.8595,5,
746,Report 746: Sighting by two newspaper deliverymen around 3:30 a.m,Infected,2009,Apr-17,28.85025,-80.93919,5,
3474,"Report 3474: One sighting in October near a cabin, then another incident six months later less than a mile away from the first incident",Infected,2009,Oct-15,37.34339,-88.71672,5,
10910,Report 10910: Hunter has daylight sighting near Sandoval.,Infected,2009,Oct-14,38.68707,-89.09732,5,
1138,"Report 1138: Family witness a 7-8 foot tall creature, covered with hair, standing in the middle of the road",Infected,2009,Feb-15,37.82861,-92.20055,5,
1693,"Report 1693: While scouting a timbered hill at 7000', hikers see a bipedal animal stand up & walk away",Infected,2009,May-20,46.01833,-110.3308,5,
13663,Report 13663: Daylight sighting by hunters near Windsor,Infected,2009,11-Nov,35.998,-76.946,5,
878,"Report 878: Hikers spot white bigfoot at Higbanks Park outside Columbus, OH",Infected,2009,Aug-15,40.15002,-83.02854,5,
933,Report 933: Family has face to face encounter with sasquatch in their back yard,Infected,2009,Jun-14,45.8581,-122.4089,5,
44368,Report 44368: Memory told of being chased home by a bi-pedal animal near Robe,Infected,2009,06-Jan,48.09853,-121.8135,5,
12959,Report 12959: Sightings by two hunters in tree stands outside Elkwater,Infected,2009,Nov-24,38.6685,-80.03149,5,
30063,Report 30063: Man recalls nighttime encounter near DeQueen,Not Infected,2009,Oct-14,34.08204,-94.3457,5,
38375,Report 38375: Memory told of a possible early morning sighting while hunting near West Clear Creek,Not Infected,2009,Oct-15,34.515,-111.375,5,
32302,Report 32302: Memory told of a possible dusk sighting at a hunting camp near Greenville,Not Infected,2009,Dec-15,30.55044,-83.48494,5,
27141,Report 27141: Campers hear loud scream at close range near Wapsipinicon River,Not Infected,2009,07-Apr,41.76392,-90.55585,5,
29330,Report 29330: Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area,Not Infected,2009,May-15,39.64819,-78.32549,5,
31592,Report 31592: Hunter recalls incidents near Pecks Lake,Not Infected,2009,11-Jan,43.857,-85.30701,5,
24794,Report 24794: Man tells of a possible nighttime encounter while burning garbage near Long Prairie,Not Infected,2009,Apr-22,45.95602,-94.87069,5,
11823,Report 11823: ATV'ers have daylight sighting near Hematite.,Not Infected,2009,Jan-14,38.21719,-90.50072,5,
30159,Report 30159: Recollection of a possible nighttime encounter on a four-wheeler near Sullivan,Not Infected,2009,Nov-18,38.11468,-91.06547,5,
18680,"Report 18680: Soldier on maneuvers finds large, human-like footprints at Fort Bragg",Not Infected,2009,08-Sep,35.1312,-79.11128,5,
1018,Report 1018: A man driving stops to watch a hair covered creature walk across a cornfield,Not Infected,2009,11-Jan,39.92821,-83.64597,5,
3387,Report 3387: Vocalizations heard in Lookingglass,Not Infected,2009,07-Jan,43.16815,-123.4911,5,
10034,Report 10034: Hunter hears wood-on-wood knocking,Not Infected,2009,11-Apr,44.0639,-120.2782,5,
7326,Report 7326: Deer hunter has early morning encounter near Middleton,Not Infected,2009,Oct-14,35.0055,-89.3808,5,
10220,Report 10220: Motorists have nighttime sighting near Pulaski.,Not Infected,2009,Nov-15,35.1918,-86.9094,5,
17195,Report 17195: Possible vocalizations heard by elk hunters in the Uintah Mountains (north slope),Not Infected,2009,10-Mar,40.915,-109.725,5,
41734,Report 41734: Bow hunter recalls being shaken by possible incidents near Mount Horeb,Not Infected,2009,Sep-30,42.9633,-89.66375,5,
1649,Report 1649: Witnesses hear two powerful vocalizations near their property on the Flathead Reservation,Class C,2009,Jul-13,47.03222,-114.0906,5,
1022,Report 1022: Hunters observe creature walking in the woods,Infected,2010,Sep-15,33.97575,-87.45876,5,
27480,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Infected,2010,May-15,33.8957,-87.53395,5,
11514,Report 11514: Evening sighting by motorists north of Flagstaff.,Infected,2010,07-Jan,35.656,-111.938,5,
12335,Report 12335: Daylight sighitng by motorist on Hwy 6 near Easterville,Infected,2010,Sep-24,52.9884,-99.11815,5,
13267,Report 13267: Morning encounter with a moose hunter in northern Ontario,Infected,2010,Oct-27,51.03445,-93.88194,5,
25857,Report 25857: Nightime roadside encounter near Orangeville,Infected,2010,05-Apr,44.15255,-80.02915,5,
1367,Report 1367: Creature was observed chasing deer.,Infected,2010,08-Oct,40.57499,-105.3646,5,
724,Report 724: Upright creature seen by 3 men fishing in a boat 3 miles from Greenwood,Infected,2010,Aug-15,30.8724,-85.217,5,
33789,Report 33789: Memory told of a close encounter while frogging at night on the upper St. Johns River,Infected,2010,Nov-23,28.20954,-80.83882,5,
4987,Report 4987: Deputy sheriff has vehicle near miss with nine foot tall biped,Infected,2010,Oct-31,44.85,-116.4,5,
317,"Report 317: Sighting by a courier near Benton, across from a log cabin on Cole Cemetery Road",Infected,2010,Apr-15,36.8207,-88.41175,5,
21142,Report 21142: Daylight sighting interrupts hunters at an old mining area near Earlington,Infected,2010,Oct-15,37.29395,-87.52757,5,
51739,Report 51739: Memory told of seeing the neighbor's dog going after a hairy biped while squirrel hunting near Greenup,Infected,2010,09-Sep,38.31738,-82.51773,5,
4325,"Report 4325: Nighttime sighting by three in car, near Mt. Pleasant",Infected,2010,Oct-20,43.5975,-84.66833,5,
20100,Report 20100: Daylight sighting by hunters near Gwinn (Upper Peninsula),Infected,2010,10-Jan,46.09045,-87.48289,5,
15492,Report 15492: Road-crossing sighting by motorist on Hwy 220 north of Candor,Infected,2010,Jun-30,35.30773,-79.75644,5,
4976,"Report 4976: Witness has two sightings, ten years apart in Cut Rock area",Infected,2010,10-Jan,38.83628,-83.12873,5,
7085,Report 7085: Three boys playing games witness a huge creature walking through their front yard,Infected,2010,07-Jan,39.3731,-81.65929,5,
2394,Report 2394: Four friends saw and heard 8 foot creature plow through the trees while they were out fishing,Infected,2010,May-30,33.48028,-97.04361,5,
27237,Report 27237: Woman recalls seeing huge bigfoot creature from a boat on Lake Livingston,Infected,2010,May-18,30.43703,-95.12381,5,
22865,Report 22865: Hairy creature seen watching a college party on Butt Mountain,Infected,2010,08-Nov,37.3557,-80.5378,5,
1388,"Report 1388: Hiker encounters huge, upright animal at creek on Grass Mountain",Infected,2010,Jun-18,47.1826,-121.7713,5,
1587,Report 1587: Loud vocalizations sounds heard,Infected,2010,05-Mar,46.94913,-122.6869,5,
24755,Report 24755: Truck Driver recalls daylight sighting east of North Bend,Infected,2010,12-Mar,47.48176,-121.6548,5,
29025,"Report 29025: Father remembers fishing with his son, appearing to be observed by a sasquatch which is later sighted on the far side of the lake near McKenna",Infected,2010,Jul-30,46.88234,-122.4331,5,
23191,Report 23191: Man remembers seeing a large hairy creature in a cemetary near Marmet,Infected,2010,08-Jan,38.2383,-81.5722,5,
6160,Report 6160: Group of hunters have unusual experience near Dorrington,Not Infected,2010,08-Jan,38.31944,-120.2603,5,
12628,Report 12628: Possible sighting in woods separating farms west of Tarrytown,Not Infected,2010,06-Jan,28.555,-82.055,5,
23978,Report 23978: Possible encounters near the Upper Chattahoochee River Recreation Area,Not Infected,2010,Oct-20,34.78035,-83.78375,5,
15926,Report 15926: Possible vocalization/intimidation at Ouabache State Park,Not Infected,2010,07-Jan,40.7219,-85.5045,5,
5064,Report 5064: Driver has early morning sighting near bridge over Hog Creek.,Not Infected,2010,Oct-19,37.27,-91.985,5,
562,Report 562: Hunting party reports frightening vocalization,Not Infected,2010,11-Oct,47.07954,-112.5649,5,
34572,Report 34572: Man recalls hearing strange howls while camping in High Point State Park,Not Infected,2010,Jun-15,41.29596,-74.68832,5,
7967,Report 7967: Boaters on the Deschutes hear loud scream from bank,Not Infected,2010,Jul-15,43.7151,-121.6347,5,
28305,Report 28305: Man recalls being spooked by loud vocalization near McKinney Bridge Road,Not Infected,2010,Sep-14,33.33614,-97.02299,5,
568,Report 568: Loud low moan then rose quickly to a high pitched scream heard,Not Infected,2010,Sep-22,46.71,-122.3442,5,
3379,Report 3379: Loud vocalizations heard above Riffe Lake,Not Infected,2010,Oct-15,46.5347,-122.4275,5,
9665,Report 9665: Young girl sees road-crossing figure during car repair stop.,Not Infected,2010,May-15,46.01665,-121.6669,5,
16228,Report 16228: Possible sighting by a security guard at strip mine outside Holden,Not Infected,2010,06-Oct,37.75415,-82.0029,5,
42321,Report 42321: Recollection of a dark figure watching as they recovered their dirt bikes near Wellsburg,Not Infected,2010,08-Aug,40.29,-80.585,5,
3169,Report 3169: Man sees creature crossing road near Petaluma,Infected,2011,01-Jan,38.25583,-122.5833,5,
11897,Report 11897: Three young adults encounter large aggressive biped while fishing the San Joaquin River,Infected,2011,Jun-28,36.7818,-120.201,5,
1368,Report 1368: witness saw man-like creature covered with dark red hair while hiking in the extreme eastern part of Dinosaur National Monument.,Infected,2011,07-Feb,40.45418,-108.5417,5,
1407,"Report 1407: Bigfoot runs across road, appears to be carrying a small infant Bigfoot",Infected,2011,Jun-15,29.4179,-82.55556,5,
28418,Report 28418: Woman remembers two visual encounters near Williston,Infected,2011,Aug-14,29.39384,-82.44225,5,
22147,Report 22147: Artifact hunter describes an unusual daylight encounter in a public hunting area near Van Wert,Infected,2011,Sep-15,40.8348,-93.85965,5,
33638,Report 33638: Woman recalls her night time sighting while fishing behind her home near Columbia,Infected,2011,Nov-16,38.51689,-90.16501,5,
2391,Report 2391: Strange noises followed by strong odor and glimpse of large bipedal animal,Infected,2011,07-Jan,37.05575,-86.98705,5,
18297,Report 18297: Man recalls face to face childhood encounter near London,Infected,2011,Apr-15,37.06226,-83.9769,5,
2787,Report 2787: Horseback rider has close range sighting in jackpine forest,Infected,2011,08-Jan,46.61183,-87.73236,5,
1135,Report 1135: A man gathering firewood for his campsite with his ATV encounters a large ape-like animal in a creek bed,Infected,2011,Mar-31,39.29007,-91.09014,5,
30573,Report 30573: Bowhunter recalls dusk encounter on creek dike near Oak Grove,Infected,2011,Oct-19,39.04035,-94.16049,5,
13383,Report 13383: Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek,Infected,2011,10-Nov,46.02962,-113.1198,5,
14801,Report 14801: Daylight sighting by fishermen on Broad River,Infected,2011,Mar-15,35.451,-82.287,5,
15108,Report 15108: Adult recounters childhood sighting on Black Mountain,Infected,2011,Nov-17,35.618,-82.321,5,
3380,Report 3380: Two high school students are chased by large unknown creature,Infected,2011,Sep-15,40.82327,-82.32803,5,
4200,Report 4200: Late night sighting by motorists on Austin Road in Geneva,Infected,2011,07-Jan,41.81835,-80.93665,5,
10925,Report 10925: Four men have a sighting after vocalizations cause them to leave their campsite near Lake Vesuvius.,Infected,2011,Feb-24,38.60551,-82.71107,5,
694,Report 694: Family sees stooped-over creature walking along forest line,Infected,2011,Jul-15,45.3233,-118.2742,5,
9393,Report 9393: Driver has early morning encounter near Rice Hill,Infected,2011,Oct-15,43.5251,-123.311,5,
24235,Report 24235: Man recounts watching a sasquatch cross road near Cross Anchor,Infected,2011,12-Jun,34.53654,-81.70052,5,
889,Report 889: Climber has night-time sighting near Mt. Adams wilderness,Infected,2011,Jul-15,46.295,-121.5478,5,
938,Report 938: Unusual tracks found.,Infected,2011,Sep-15,46.37944,-117.9458,5,
1390,Report 1390: Fisherman spots a large upright creature digging on the shore,Infected,2011,Jun-22,47.5279,-122.3454,5,
1395,Report 1395: Hunters observed creature just before vocalization screams were heard,Infected,2011,Apr-13,45.75806,-121.2303,5,
1571,Report 1571: Nighttime sighting by motorists,Infected,2011,05-Oct,48.74111,-117.4161,5,
1600,Report 1600: Civil War Reenactor sees bigfoot cross railroad tracks,Infected,2011,06-Aug,46.71833,-122.1767,5,
27473,Report 27473: Man recounts seeing a sasquatch while driving a logging road near Snoqualmie,Infected,2011,Oct-15,47.57576,-121.7427,5,
13964,Report 13964: Possible vocalizations heard at sundown near the North Rim of the Grand Canyon,Not Infected,2011,Oct-26,36.4,-112,5,
2558,Report 2558: Man hears strange late night scream outside Shingletown,Not Infected,2011,08-Jan,40.4925,-121.8881,5,
11595,Report 11595: Possible daylight sighting by hikers on the Stanley Glacier Trail (BC/Alberta border),Not Infected,2011,May-24,51.26903,-116.1654,5,
27959,Report 27959: Woman recalls hearing unusual hi-pitch sounds at a home near North Bay,Not Infected,2011,08-Jan,48.57605,-89.2351,5,
48599,Report 48599: Family retells documenting a possible mile-long line of tracks north of Yankeetown,Not Infected,2011,01-Nov,29.07718,-82.74918,5,
